isoa3_id,isoa3_id_1,protection,sum
AGO,,protected,381878.04
AGO,,unprotected,22840507.78
BDI,,protected,15809.55
BDI,,unprotected,9094230.60
BEN,,protected,153815.00
BEN,,unprotected,9314346.97
BFA,,protected,565786.53
BFA,,unprotected,15534082.76
BWA,,protected,160807.95
BWA,,unprotected,1924123.69
CAF,,protected,100342.10
CAF,,unprotected,4570383.70
CIV,,protected,1088951.76
CIV,,unprotected,20030512.69
CMR,,protected,84519.37
CMR,,unprotected,19760231.42
COD,,protected,2501557.64
COD,,unprotected,63841816.55
COG,,protected,326136.22
COG,,unprotected,4127333.94
COM,,protected,55867.60
COM,,unprotected,540618.91
CPV,,protected,5644.62
CPV,,unprotected,456190.17
DJI,,unprotected,837248.57
DZA,,protected,843670.39
DZA,,unprotected,34964898.02
EGY,,protected,1091844.83
EGY,,unprotected,86096342.22
ERI,,protected,13.13
ERI,,unprotected,2835524.21
ESH,,protected,0.00
ESH,,unprotected,411006.77
ETH,,protected,5414524.46
ETH,,unprotected,83716419.15
GAB,,protected,99175.36
GAB,,unprotected,1567477.82
GHA,,protected,199447.32
GHA,,unprotected,25142754.45
GIN,,protected,1405579.68
GIN,,unprotected,8856139.15
GMB,,protected,9819.29
GMB,,unprotected,1885750.29
GNB,,protected,63011.19
GNB,,unprotected,1337684.85
GNQ,,protected,19983.70
GNQ,,unprotected,1042905.97
KEN,,protected,1794707.86
KEN,,unprotected,39613090.41
LBR,,protected,36754.24
LBR,,unprotected,3925724.04
LBY,,protected,0.00
LBY,,unprotected,7030701.06
LSO,,protected,564.13
LSO,,unprotected,2017907.27
MAR,,protected,289681.29
MAR,,unprotected,32136454.94
MDG,,protected,861780.05
MDG,,unprotected,20733000.45
MLI,,protected,1916988.33
MLI,,unprotected,13625354.49
MOZ,,protected,1696348.71
MOZ,,unprotected,21284506.50
MRT,,protected,7650.13
MRT,,unprotected,3395367.34
MUS,,protected,9316.73
MUS,,unprotected,981775.11
MWI,,protected,215256.83
MWI,,unprotected,14507792.00
NAM,,protected,166345.36
NAM,,unprotected,1455331.37
NER,,protected,366535.27
NER,,unprotected,16274360.78
NGA,,protected,3018888.72
NGA,,unprotected,157727338.71
RWA,,protected,14867.36
RWA,,unprotected,10306647.94
SDN,,protected,417343.03
SDN,,unprotected,33505471.70
SEN,,protected,380830.87
SEN,,unprotected,12079306.31
SLE,,protected,165436.72
SLE,,unprotected,6126039.41
SOM,,unprotected,11921351.69
SSD,,protected,880617.03
SSD,,unprotected,8831815.18
STP,,protected,111.19
STP,,unprotected,170831.87
SWZ,,protected,1474.04
SWZ,,unprotected,1098801.55
SYC,,protected,700.58
SYC,,unprotected,77678.97
TCD,,protected,452949.60
TCD,,unprotected,11438050.79
TGO,,protected,236641.95
TGO,,unprotected,6341394.66
TUN,,protected,19960.90
TUN,,unprotected,10818335.75
TZA,,protected,2497664.51
TZA,,unprotected,42580413.71
UGA,,protected,779791.09
UGA,,unprotected,31594120.63
ZAF,,protected,382772.53
ZAF,,unprotected,51339600.42
ZMB,,protected,1443311.55
ZMB,,unprotected,12314943.43
ZWE,,protected,738734.89
ZWE,,unprotected,12103422.22
