isoa3_id,fc_p_2006_sum,fc_p_2011_sum,fc_p_2016_sum,fc_p_2022_sum,fc_up_2006_sum,fc_up_2011_sum,fc_up_2016_sum,fc_up_2022_sum,ba_p_2006_sum,ba_p_2011_sum,ba_p_2016_sum,ba_p_2022_sum,ba_up_2006_sum,ba_up_2011_sum,ba_up_2016_sum,ba_up_2022_sum,fir_p_2006_result,fir_p_2011_result,fir_p_2016_result,fir_p_2022_result,fl_p_2006_sum,fl_p_2011_sum,fl_p_2016_sum,fl_p_2022_sum,fl_up_2006_sum,fl_up_2011_sum,fl_up_2016_sum,fl_up_2022_sum
TCD,"632298.848854331","646329.614378345","646374.410306042","646374.410304891","2116329.8528154","2102299.19941508","2102254.41993693","2102254.41994185","13814882.2364168","11923232.770829","13222528.5181096","13071638.4699733","21791480.7527571","19568704.9574117","18383681.6954504","12959421.4353656","86690","81774","73903","73066",122.304876683142,71.0424587816643,93.6928640656895,100.787039848406,1488.49683490246,1314.21073237935,2567.7644184962,2820.84613766251
SDN,"57513.1065017167","57513.1065016872","57513.1240860385","57513.1245361336","1254558.5153662","1254558.51536612","1254558.49778397","1254558.48922026","1631239.88127592","942365.019142231","853522.452575357","1247350.05828476","24304832.2221242","18562380.1345787","21122972.7794911","20038292.5821121","11448","11280","9010","9112",0.0367098502197265,0.0270891815185546,0.115391963989258,0.0078647412109375,25.0564424434606,38.8793352649866,37.9752827896573,8.97967837345522
EGY,"9908.73064194505","9908.73064197526","9915.7220749951","9915.72207454592","281919.187824258","281919.187825517","281912.196401675","281912.196399196","0","0","0","0","105644.764506963","103667.689321201","119490.445957236","19400.0857560681","1844","1861","1868","1876",0.268932538297765,0.283562839782715,0.803087240379423,0.101717516066847,9.86236968435849,8.88625672503662,31.7999722632066,11.1899038693702
,"0.0287595759277343","0.0287595759277343","0.0287595759277343","0.0287595759277343","0","0","0","0","0","0","0","0","0","0","0","0","1817","1826","1827","1815",0.0057814880981445,0.0189856454467773,0.0082461303710937,0,0,0,0,0
SSD,"1898146.64307437","1898146.64307224","1898146.64307251","1898146.64307037","10211550.1783729","10211550.1783771","10211550.1783771","10211550.1763094","7870669.65283958","11548967.03988","13481404.6887264","9807772.03388634","58253578.3508621","64301715.064558","73670781.8376432","49728605.4015721","91274","109306","104571","103220",79.5978421889624,51.078658513103,55.550411816275,15.2200582766762,707.452585119862,657.383838963698,447.558832191577,192.630291235962
ETH,"1132995.84687143","1334724.85109989","1515927.33881085","1716172.16852262","10427968.2588999","10226237.982706","10045034.1493231","9844788.47450145","1301175.04871524","1708875.10599539","3216337.65295871","2679310.43676168","8553050.10087831","9292788.73240673","9527969.97556981","6644963.83447223","27397","35281","42165","45497",93.9928944650659,162.538903807195,274.43720963203,170.034259126407,931.132233193074,1269.75327363833,1869.85283920204,1484.60646660038
ERI,,"25.9687527469602","25.9687527469602","25.9687527469602","8225.60793556529","8199.63257022681","8199.63257020701","8199.63257023383",,"171.259905986174","1477.13190592721","1206.9103204406","135453.398363998","31811.1814367706","13865.0056554398","128551.997918315",,"1860","1847","1848",,0,0.000866964477539062,0.0294756028442382,0.154247341892377,0.139078715942383,0.477231642386642,0.0889639722290039
TZA,"8893162.23629479","9261963.66528165","9261964.00596446","9558280.53614365","12104430.275772","11735623.3096412","11735623.3081869","11439333.8373186","18246467.9174893","19659995.9927468","22202775.214211","18096898.7617707","10583902.3160678","9618316.25570543","9347948.47101158","6795014.72590024","188472","211551","176272","155963",1606.66708778527,2912.12317122806,3546.88451135123,2563.5508049228,5926.18983122562,7897.89625488494,8730.04177971615,8484.61785967039
KEN,"1021555.68230412","1029716.23755346","1029716.23755312","1030676.24785572","2783183.85890432","2775026.17907626","2775026.17907908","2774066.05968132","36843.5414778115","61810.5081155222","87722.6837799747","277958.049560564","105212.677190578","80636.2607802625","139621.32700563","405440.300564625","4344","4445","4019","3770",293.449899233829,246.826306677079,260.308260710948,206.88165351431,1177.65842881144,1139.96817350638,1092.04604724753,923.347229162322
UGA,"1300454.13065118","1300454.1814525","1300454.1827903","1300454.16354097","4842440.51402201","4842440.5144358","4842440.51444253","4842440.5144403","226389.552869267","579240.674992394","1982435.61680521","1882157.02172198","976949.599930327","1384657.73520643","4020064.40644914","2219552.27610203","20768","21519","25792","19338",239.061883427238,342.118839477405,415.000611427255,496.516966882586,1163.74561736457,1760.00291784316,2588.16582003043,3526.29409894398
