isoa3_id_1,w_s_up_2011_sum,w_s_up_2016_sum,w_s_up_2022_sum,w_p_p_2001_sum,w_p_p_2006_sum,w_p_p_2011_sum,w_p_p_2022_sum,w_p_p_2016_sum,w_p_up_2001_sum,w_p_up_2006_sum,w_p_up_2011_sum,w_p_up_2016_sum,w_p_up_2022_sum,w_s_p_2001_sum,w_s_p_2006_sum,w_s_p_2011_sum,w_s_p_2016_sum,w_s_p_2022_sum,w_s_up_2001_sum,w_s_up_2006_sum
TUN,234.1517831,230.7585379,230.7585379,78.85047589,78.85047589,102.4711472,153.40872,153.4129808,227.6076296,227.6076296,203.986593,153.0438925,153.0438925,117.6740398,117.6740398,144.4306284,147.823222,147.823143,260.909074,260.909074
LBY,209.7527455,209.7527455,209.7527455,0,0,0,0,0,81.05821774,81.05821774,81.05821774,81.05821773,81.05821774,0.007336436,0.007336436,0.008150599,0.008150599,0.008150599,209.7535597,209.7535597
EGY,508.6683117,508.6610239,508.6610239,644.8555758,666.5532862,669.662216,669.7963798,669.7963798,4061.042871,4039.343101,4036.233155,4036.099037,4036.099037,142.5643418,148.868637,149.2179291,149.225223,149.225223,515.3221589,509.0176398
MAR,32.97967434,32.92605219,32.55360733,11.71016686,80.55035822,81.04836862,85.53399302,83.29451832,268.1530033,199.3125783,198.8146399,196.5712199,194.3313036,4.961935976,16.2111027,16.28074215,16.33421322,16.70658984,44.29895443,33.04931379
DZA,34.61952601,34.61952601,34.4444332,25.67630107,26.91793841,27.03523412,28.24785982,27.03523412,110.1309487,108.889548,108.772489,108.772489,107.5595306,332.8215662,491.0923879,505.8924785,505.8924785,506.0675313,207.6904553,49.41961944
BDI,4.010303088,4.010303088,4.010303088,140.785033,140.785033,140.785033,140.785033,140.785033,1871.854576,1871.854576,1871.854576,1871.854576,1871.854576,2.315486634,2.315486634,2.315486634,2.315486634,2.315486634,4.010303088,4.010303088
GNQ,6.56355069,6.56355069,6.56355069,76.3479327,82.30148908,82.30148908,82.30148908,82.30148908,70.42976771,64.48264041,64.48264041,64.48264041,64.48264041,4.938867356,5.166793911,5.166793911,5.166793911,5.166793911,6.791568382,6.56355069
GAB,88.21745701,88.21745701,85.36756054,620.0494089,737.1783026,1312.986493,1532.995366,1312.986493,1762.367654,1645.293732,1069.514942,1069.514942,849.5870304,37.91172752,56.13981251,163.2691033,163.2691033,166.1185339,213.5055623,195.2858533
COD,2011.871944,2004.853504,1903.868664,2361.980908,2363.03858,6487.113757,7191.007977,6493.083461,32292.75261,32291.69598,28167.65129,28161.68014,27463.87715,125.7423335,127.4432481,490.8254281,497.8420881,598.8282704,2376.945081,2375.244055
CAF,293.7031145,293.7031145,293.7031145,21.08652357,21.08652357,21.11846582,21.11846582,21.11846582,480.663632,480.663632,480.631462,480.631462,480.631462,18.15029951,18.15051171,18.15719583,18.15719583,18.15719583,293.7100143,293.7097986
CMR,489.3904985,476.5204725,462.7866329,40.09667422,42.29714272,497.4259139,634.8561475,502.5695684,1627.118572,1624.91797,1169.784041,1164.638796,1032.348044,13.6036623,15.6433303,64.11859649,76.98630795,90.71978712,539.9085588,537.8685688
TCD,296.793951,292.7888364,292.7888364,126.3729225,126.3729225,126.3729396,129.7442735,129.7442735,972.0634,972.0634,972.06379,968.6928459,968.6928458,33.89453616,33.89804486,33.90303883,37.90891003,37.90891003,296.8024332,296.7989245
COG,368.0069464,348.5133534,345.5657175,54.68373311,54.69205752,226.4585351,231.8052305,226.7928386,1845.491248,1845.482913,1673.668034,1673.333709,1668.320963,19.66351885,19.7926294,249.5629588,269.0551396,272.0026568,597.655938,597.5267539
SDN,1126.766338,1126.033721,1126.033721,31.22207595,31.22207595,31.22207595,59.99615395,59.99612774,2130.866847,2130.866847,2130.866873,2102.092713,2102.092713,1.288682143,1.293699647,1.293699647,2.026326443,2.026326443,1126.771352,1126.766338
SSD,208.5555958,208.5555958,208.5555612,82.70186549,229.6655989,229.6655989,229.6655989,229.6655989,360.948915,213.9856049,213.9856049,213.9856049,213.9856049,112.1835741,284.2894093,284.2894093,284.2894093,284.2894093,380.6603114,208.5555958
UGA,108.3355524,108.3355524,108.3355524,225.3253545,283.4606784,283.4606784,283.4606784,283.4606223,35630.96546,35572.82384,35572.82384,35572.82384,35572.82384,15.18859926,17.80369875,17.80369875,17.80369875,17.80369875,110.9508657,108.3355524
RWA,8.509239442,8.509239442,8.509239442,153.6087576,153.6087576,153.6087576,153.6087576,153.6087576,1256.460089,1256.460089,1256.460089,1256.460089,1256.460089,4.118431145,4.121112072,4.121112072,4.121112072,4.121112072,8.511920368,8.509239442
KEN,98.80431158,98.80431158,98.79180063,329.7283389,329.7283389,347.5978979,347.6005787,347.5978979,11275.50373,11275.50373,11257.63403,11257.63403,11257.63135,28.27780578,28.27780578,28.89326209,28.89326209,28.90577305,99.41971888,99.41971888
TZA,506.2219894,506.2219894,506.0854773,617.8702644,688.0385212,763.3969267,763.4015007,763.3969267,55073.98129,55003.82044,54928.46101,54928.46101,54928.45639,269.2921179,283.8689033,298.1232295,298.1232295,298.2593914,535.0521961,520.4765457
ETH,348.5534323,348.4202587,345.2466522,546.568377,549.0475976,568.6131431,601.6586985,568.6131431,5924.080531,5921.60131,5902.034591,5902.034591,5868.988246,79.91719101,80.84610819,83.03028818,83.16346855,86.33696344,351.6667762,350.7377732
SWZ,2.146295345,2.131102568,2.131102568,0.049785164,0.049785164,0.049785164,5.602182518,5.602182518,18.99061572,18.99061572,18.99061572,13.4382152,13.4382152,0.030569846,0.030569846,0.030569846,0.045756343,0.045756343,2.146295345,2.146295345
LSO,20.99018766,20.99018766,20.99018766,0.00077769,0.00077769,0.00077769,0.00077769,0.00077769,2.447008558,2.447008558,2.447008558,2.447008558,2.447008558,0.006090865,0.006090865,0.006090865,0.006090865,0.006090865,20.99018766,20.99018766
MUS,1.065410402,1.065410402,1.065410402,3.081471238,3.090200161,3.090180382,3.090180382,3.090180382,58.52297246,58.51427982,58.51427982,58.51427982,58.51427982,0.023536968,0.023536968,0.023536968,0.023536968,0.023536968,1.065410402,1.065410402
MOZ,377.8058032,354.7838727,351.8046019,8087.78921,8215.444883,8241.97245,8684.09881,8665.721111,2401.849983,2274.191614,2247.631203,1823.888461,1805.514808,162.1327637,190.8277601,219.9941924,243.0163857,245.9749783,435.6360255,406.9419937
COM,0.731271671,0.731271671,0.731271671,0,0,30.08830025,30.08830025,30.08830025,129.5295806,129.5295806,99.43679042,99.43679042,99.43679042,0,0,0.287293906,0.287293906,0.287293906,1.018644544,1.018644544
ZAF,291.8273401,288.2104015,286.6568061,1093.48093,1148.022847,1159.597869,1314.98914,1181.408749,1714.239795,1659.712564,1648.141327,1626.35597,1492.735258,40.93671814,46.01587921,46.60105956,50.22813022,51.78002559,297.4900268,292.4126625
AGO,644.2951272,644.2429393,644.2429392,16.07360391,18.75516835,18.81800164,19.18262639,19.18262639,1059.288308,1056.605908,1056.543024,1056.178507,1056.178507,229.0974159,229.5450639,229.5657534,229.618032,229.618032,644.7635962,644.3158268
MWI,22.19276507,22.19276507,19.91347633,994.772134,994.772134,994.772134,995.3352874,994.772134,22379.97246,22379.97246,22379.97246,22379.97246,22379.40929,9.993274547,9.993274547,9.993274547,9.993274547,12.27250262,22.19276507,22.19276507
SYC,1.208519178,1.208519178,1.151845093,6.013742348,6.066415035,6.20624255,11.74642521,6.20624255,16.92321805,16.87053481,17.03978793,17.03978793,11.49870571,1.521026371,1.52499613,2.979413928,2.979413928,3.035191827,1.862408292,1.858441992
BWA,254.5136853,254.5136853,254.5136853,17.55377397,18.28027866,18.41320091,18.41320091,18.41320091,23.28542849,22.55855611,22.42598477,22.42598477,22.42598477,413.4204663,413.4535501,413.5257265,413.5257265,413.5257265,254.6189621,254.5858283
NAM,86.87720544,85.30238476,85.30238476,70.04869504,75.27037249,224.9504478,238.8344487,238.8348221,676.8686139,671.6466041,522.2090388,508.3491037,508.3491475,337.2728575,344.3811834,354.9567598,356.5313377,356.5313377,104.5590219,97.4502745
MDG,1428.88581,1428.636557,1405.200456,98.22033565,304.0263377,371.3249885,435.7239035,386.3688226,2891.126786,2685.319184,2618.004084,2602.956564,2553.610649,15.1096378,53.75211535,55.51698401,55.76542921,79.20101333,1469.293583,1430.651041
ZWE,70.24768138,69.94702362,69.94702362,2654.315484,2661.563144,2661.563144,2665.004167,2665.004167,130.8124873,123.5660523,123.5660523,120.1253203,120.1253203,16.95516705,23.19538579,23.19538579,23.4960335,23.4960335,76.48781135,70.24768138
ZMB,800.3507192,800.2943923,800.294331,1715.042292,1719.880529,1722.357715,1723.46171,1723.46171,9543.528849,9538.689509,9536.211497,9535.107904,9535.107904,708.85569,710.7845271,711.9937013,712.0500316,712.0500316,803.4894958,801.560054
SEN,294.1314597,283.6944781,253.6620431,381.2814497,386.8352964,386.9041758,544.0626001,488.5598236,1204.202698,1198.58799,1198.519009,1096.85834,1041.338893,99.16964883,99.29206885,99.43384074,109.8705588,139.9025665,294.3955864,294.2731595
NER,158.5654077,158.5654077,110.3826565,18.1866065,21.16104788,21.16104788,63.44940219,21.16104788,87.21020068,84.2357593,84.2357593,84.2357593,41.94711061,17.62427416,21.13159037,21.13159037,21.13159037,69.31417191,162.0729475,158.5654077
